I_MA,tr_ns,liner_r_cm,foam_r_cm,m_mg_per_cm,E_MJ_per_cm,v_cm_per_s
57.5,525,4,0.6,53.45,5.8306,-46709000
57.5,525,4,0.7,55.65,5.3391,-43804000
57.5,525,4,0.8,57.7,4.915,-41275000
57.5,525,5,0.5,31.8,7.1305,-66967000
57.5,525,5,0.6,32.8,6.5445,-63171000
57.5,525,5,0.7,33.95,6.0505,-59702000
57.5,525,5,0.8,35,5.6239,-56689000
57.5,525,6,0.5,21.65,7.718,-84438000
57.5,525,6,0.6,22.15,7.1302,-80238000
57.5,525,6,0.7,22.55,6.6344,-76708000
57.5,525,6,0.8,23.25,6.2062,-73066000
57.5,525,7,0.5,15.55,8.2177,-102810000
57.5,525,7,0.6,15.9,7.6284,-97957000
57.5,525,7,0.7,16.25,7.1315,-93687000
57.5,525,7,0.8,16.65,6.7022,-89725000
57.5,550,4,0.5,56.75,6.4142,-47545000
57.5,550,4,0.6,59,5.8307,-44458000
57.5,550,4,0.7,61.5,5.3393,-41670000
57.5,550,4,0.8,63.55,4.9151,-39330000
57.5,550,5,0.5,34.85,7.1306,-63970000
57.5,550,5,0.6,36.2,6.5445,-60131000
57.5,550,5,0.7,37.05,6.0506,-57151000
57.5,550,5,0.8,38.25,5.6241,-54228000
57.5,550,6,0.5,23.65,7.718,-80789000
57.5,550,6,0.6,24.35,7.1302,-76528000
57.5,550,6,0.7,24.9,6.6346,-73000000
57.5,550,6,0.8,25.6,6.2064,-69633000
57.5,550,7,0.5,17.15,8.2176,-97894000
57.5,550,7,0.6,17.35,7.6284,-93774000
57.5,550,7,0.7,17.85,7.1317,-89391000
57.5,550,7,0.8,18.35,6.7022,-85468000
57.5,575,4,0.5,62.05,6.4144,-45470000
57.5,575,4,0.6,64.05,5.8309,-42670000
57.5,575,4,0.7,67,5.3394,-39923000
57.5,575,4,0.8,69.25,4.9153,-37677000
57.5,575,5,0.5,38.3,7.1307,-61022000
57.5,575,5,0.6,39.6,6.5446,-57492000
57.5,575,5,0.7,40.6,6.0508,-54596000
57.5,575,5,0.8,42.15,5.6241,-51659000
57.5,575,6,0.5,26.05,7.7181,-76978000
57.5,575,6,0.6,26.5,7.1304,-73358000
57.5,575,6,0.7,27.15,6.6347,-69910000
57.5,575,6,0.8,27.95,6.2064,-66641000
57.5,575,7,0.5,18.65,8.218,-93877000
57.5,575,7,0.6,18.95,7.6287,-89730000
57.5,575,7,0.7,19.45,7.1317,-85635000
57.5,575,7,0.8,19.9,6.7023,-82073000
57.5,600,4,0.5,67.35,6.4145,-43644000
57.5,600,4,0.6,70.25,5.831,-40744000
57.5,600,4,0.7,72.85,5.3396,-38287000
57.5,600,4,0.8,75.05,4.9155,-36193000
57.5,600,5,0.5,41.8,7.1308,-58411000
57.5,600,5,0.6,42.75,6.5448,-55335000
57.5,600,5,0.7,44.5,6.0508,-52148000
57.5,600,5,0.8,45.7,5.6243,-49613000
57.5,600,6,0.5,28.25,7.7183,-73921000
57.5,600,6,0.6,28.9,7.1303,-70246000
57.5,600,6,0.7,29.75,6.6347,-66786000
57.5,600,6,0.8,30.35,6.2065,-63953000
57.5,600,7,0.5,20.2,8.2183,-90205000
57.5,600,7,0.6,20.7,7.6291,-85855000
57.5,600,7,0.7,21.25,7.1319,-81929000
57.5,600,7,0.8,21.65,6.7025,-78687000
60,150,4,0.5,4.6,6.9807,-174210000
60,150,4,0.6,4.8,6.3461,-162610000
60,150,4,0.7,4.95,5.8107,-153220000
60,150,4,0.8,5.1,5.349,-144830000
60,150,5,0.5,2.85,7.7615,-233380000
60,150,5,0.6,2.9,7.1234,-221650000
60,150,5,0.7,3.05,6.5856,-207810000
60,150,5,0.8,3.1,6.1217,-198730000
60,150,6,0.5,1.9,8.4001,-297360000
60,150,6,0.6,1.95,7.7601,-282120000
60,150,6,0.7,2,7.2217,-268730000
60,150,6,0.8,2.05,6.7555,-256720000
60,150,7,0.5,1.4,8.9434,-357440000
60,150,7,0.6,1.4,8.3026,-344400000
60,150,7,0.7,1.45,7.7618,-327200000
60,150,7,0.8,1.5,7.2934,-311840000
60,175,4,0.5,6.35,6.9809,-148280000
60,175,4,0.6,6.5,6.3461,-139740000
60,175,4,0.7,6.7,5.811,-131710000
60,175,4,0.8,7.05,5.3495,-123190000
60,175,5,0.5,3.85,7.7614,-200800000
60,175,5,0.6,4,7.1236,-188730000
60,175,5,0.7,4.05,6.5858,-180340000
60,175,5,0.8,4.3,6.1213,-168730000
60,175,6,0.5,2.6,8.4016,-254220000
60,175,6,0.6,2.7,7.7614,-239770000
60,175,6,0.7,2.75,7.2216,-229170000
60,175,6,0.8,2.8,6.7552,-219660000
60,175,7,0.5,1.85,8.9439,-310950000
60,175,7,0.6,1.95,8.302,-291800000
60,175,7,0.7,2,7.761,-278590000
60,175,7,0.8,2,7.2937,-270070000
60,200,4,0.5,8.2,6.9817,-130490000
60,200,4,0.6,8.5,6.3464,-122200000
60,200,4,0.7,8.8,5.8113,-114920000
60,200,4,0.8,9.15,5.3495,-108130000
60,200,5,0.5,4.95,7.7613,-177080000
60,200,5,0.6,5.2,7.1237,-165530000
60,200,5,0.7,5.35,6.5861,-156910000
60,200,5,0.8,5.5,6.1217,-149200000
60,200,6,0.5,3.4,8.4018,-222310000
60,200,6,0.6,3.5,7.7618,-210600000
60,200,6,0.7,3.55,7.222,-201710000
60,200,6,0.8,3.7,6.7562,-191100000
60,200,7,0.5,2.45,8.9435,-270200000
60,200,7,0.6,2.55,8.303,-255190000
60,200,7,0.7,2.55,7.7619,-246730000
60,200,7,0.8,2.65,7.2949,-234640000
60,225,4,0.5,10.35,6.9818,-116150000
60,225,4,0.6,10.7,6.3466,-108920000
60,225,4,0.7,11.1,5.8114,-102330000
60,225,4,0.8,11.55,5.3498,-96249000
60,225,5,0.5,6.35,7.7623,-156360000
60,225,5,0.6,6.55,7.1243,-147490000
60,225,5,0.7,6.75,6.5864,-139700000
60,225,5,0.8,6.9,6.1219,-133210000
60,225,6,0.5,4.3,8.4018,-197680000
60,225,6,0.6,4.4,7.7619,-187830000
60,225,6,0.7,4.55,7.2226,-178180000
60,225,6,0.8,4.65,6.7563,-170470000
60,225,7,0.5,3.1,8.9444,-240220000
60,225,7,0.6,3.2,8.3032,-227800000
60,225,7,0.7,3.25,7.7622,-218560000
60,225,7,0.8,3.35,7.2949,-208690000
60,250,4,0.5,12.8,6.9821,-104450000
60,250,4,0.6,13.4,6.3467,-97327000
60,250,4,0.7,13.65,5.8116,-92278000
60,250,4,0.8,14.3,5.35,-86501000
60,250,5,0.5,8,7.762,-139300000
60,250,5,0.6,8.15,7.1244,-132220000
60,250,5,0.7,8.3,6.5865,-125980000
60,250,5,0.8,8.65,6.1223,-118980000
60,250,6,0.5,5.3,8.4022,-178060000
60,250,6,0.6,5.45,7.762,-168770000
60,250,6,0.7,5.6,7.2221,-160600000
60,250,6,0.8,5.75,6.756,-153290000
60,250,7,0.5,3.85,8.9454,-215570000
60,250,7,0.6,3.95,8.3035,-205040000
60,250,7,0.7,4.05,7.7628,-195790000
60,250,7,0.8,4.1,7.2951,-188640000
60,275,4,0.5,15.35,6.9822,-95380000
60,275,4,0.6,16.05,6.347,-88932000
60,275,4,0.7,16.8,5.8118,-83180000
60,275,4,0.8,17.25,5.3501,-78759000
60,275,5,0.5,9.55,7.7627,-127500000
60,275,5,0.6,9.9,7.1242,-119970000
60,275,5,0.7,10.15,6.5865,-113920000
60,275,5,0.8,10.45,6.1224,-108250000
60,275,6,0.5,6.45,8.4021,-161410000
60,275,6,0.6,6.65,7.7624,-152790000
60,275,6,0.7,6.8,7.2228,-145750000
60,275,6,0.8,6.95,6.7567,-139440000
60,275,7,0.5,4.65,8.9458,-196150000
60,275,7,0.6,4.7,8.3037,-187980000
60,275,7,0.7,4.85,7.763,-178920000
60,275,7,0.8,4.9,7.2952,-172560000
60,300,4,0.5,18.3,6.9824,-87356000
60,300,4,0.6,19.2,6.3471,-81311000
60,300,4,0.7,19.95,5.812,-76332000
60,300,4,0.8,20.45,5.3502,-72336000
60,300,5,0.5,11.3,7.7627,-117210000
60,300,5,0.6,11.65,7.1246,-110590000
60,300,5,0.7,11.95,6.5868,-104990000
60,300,5,0.8,12.35,6.1224,-99574000
60,300,6,0.5,7.7,8.4025,-147730000
60,300,6,0.6,7.85,7.7623,-140630000
60,300,6,0.7,8.05,7.2229,-133960000
60,300,6,0.8,8.25,6.7566,-127980000
60,300,7,0.5,5.45,8.9451,-181180000
60,300,7,0.6,5.6,8.3041,-172210000
60,300,7,0.7,5.75,7.7633,-164330000
60,300,7,0.8,5.9,7.2958,-157260000
60,325,4,0.5,21.55,6.9824,-80500000
60,325,4,0.6,22.45,6.3473,-75197000
60,325,4,0.8,24.1,5.3503,-66634000
60,325,5,0.5,13.3,7.763,-108040000
60,325,5,0.6,13.75,7.1247,-101800000
60,325,5,0.7,14.05,6.587,-96832000
60,325,5,0.8,14.65,6.1225,-91424000
60,325,6,0.5,9.1,8.4025,-135890000
60,325,6,0.6,9.3,7.7623,-129200000
60,325,6,0.7,9.5,7.2231,-123310000
60,325,6,0.8,9.75,6.7568,-117730000
60,325,7,0.5,6.4,8.9456,-167200000
60,325,7,0.6,6.6,8.3044,-158630000
60,325,7,0.7,6.75,7.7634,-151670000
60,325,7,0.8,6.9,7.2958,-145420000
60,350,4,0.5,25.2,6.9827,-74443000
60,350,4,0.6,25.95,6.3474,-69943000
60,350,4,0.7,26.95,5.8123,-65677000
60,350,4,0.8,27.95,5.3506,-61876000
60,350,5,0.5,15.45,7.7629,-100250000
60,350,5,0.6,15.9,7.1249,-94669000
60,350,5,0.7,16.4,6.5871,-89628000
60,350,5,0.8,16.85,6.1228,-85249000
60,350,6,0.5,10.45,8.403,-126820000
60,350,6,0.6,10.7,7.7629,-120460000
60,350,6,0.7,11.05,7.223,-114340000
60,350,6,0.8,11.3,6.7569,-109360000
60,350,7,0.5,7.45,8.9461,-154970000
60,350,7,0.6,7.7,8.3047,-146870000
60,350,7,0.7,7.85,7.7635,-140640000
60,350,7,0.8,8.05,7.2961,-134640000
60,375,4,0.5,28.8,6.9829,-69637000
60,375,4,0.6,30,6.3476,-65052000
60,375,4,0.7,31.1,5.8125,-61139000
60,375,4,0.8,32.1,5.3507,-57739000
60,375,5,0.5,17.65,7.7632,-93791000
60,375,5,0.6,18.15,7.1249,-88607000
60,375,5,0.7,18.95,6.5872,-83380000
60,375,5,0.8,19.35,6.1228,-79552000
60,375,6,0.5,11.9,8.403,-118840000
60,375,6,0.6,12.3,7.763,-112350000
60,375,6,0.7,12.55,7.2232,-107290000
60,375,6,0.8,12.85,6.7569,-102550000
60,375,7,0.5,8.65,8.9466,-143830000
60,375,7,0.6,8.9,8.3047,-136610000
60,375,7,0.7,9.1,7.7637,-130630000
60,375,7,0.8,9.2,7.2961,-125940000
60,400,4,0.5,32.8,6.9831,-65253000
60,400,4,0.6,33.95,6.3477,-61151000
60,400,4,0.7,35.15,5.8127,-57510000
60,400,4,0.8,36.6,5.3508,-54074000
60,400,5,0.5,20.2,7.7634,-87673000
60,400,5,0.6,20.8,7.1253,-82772000
60,400,5,0.7,21.5,6.5872,-78279000
60,400,5,0.8,22.05,6.1231,-74524000
60,400,6,0.5,13.65,8.4032,-110960000
60,400,6,0.6,14,7.7631,-105310000
60,400,6,0.7,14.25,7.2233,-100690000
60,400,6,0.8,14.65,6.7571,-96046000
60,400,7,0.5,9.75,8.9462,-135470000
60,400,7,0.6,10,8.3051,-128880000
60,400,7,0.7,10.2,7.764,-123380000
60,400,7,0.8,10.45,7.2965,-118170000
60,425,4,0.5,36.95,6.9833,-61481000
60,425,4,0.6,38.4,6.3479,-57500000
60,425,4,0.7,39.65,5.8128,-54149000
60,425,4,0.8,41.45,5.351,-50813000
60,425,5,0.5,22.8,7.7635,-82523000
60,425,5,0.6,23.6,7.1253,-77707000
60,425,5,0.7,24.2,6.5876,-73785000
60,425,5,0.8,24.9,6.1232,-70130000
60,425,6,0.5,15.4,8.4034,-104470000
60,425,6,0.6,15.8,7.763,-99129000
60,425,6,0.7,16.2,7.2235,-94435000
60,425,6,0.8,16.7,6.7573,-89959000
60,425,7,0.5,11.15,8.9468,-126680000
60,425,7,0.6,11.35,8.3055,-120980000
60,425,7,0.7,11.55,7.7644,-115950000
60,425,7,0.8,11.85,7.2967,-110970000
60,450,4,0.5,41.2,6.9834,-58224000
60,450,4,0.6,43,6.348,-54338000
60,450,4,0.7,44.5,5.813,-51113000
60,450,4,0.8,46.3,5.3512,-48078000
60,450,5,0.5,25.4,7.7636,-78186000
60,450,5,0.6,26.2,7.1254,-73751000
60,450,5,0.7,27.05,6.5877,-69791000
60,450,5,0.8,28,6.1233,-66135000
60,450,6,0.5,17.3,8.4034,-98564000
60,450,6,0.6,17.75,7.7633,-93527000
60,450,6,0.7,18.2,7.2236,-89096000
60,450,6,0.8,18.55,6.7574,-85356000
60,450,7,0.5,12.45,8.947,-119890000
60,450,7,0.6,12.6,8.3054,-114820000
60,450,7,0.7,13,7.7645,-109290000
60,450,7,0.8,13.3,7.2969,-104750000
60,475,4,0.5,46.3,6.9835,-54924000
60,475,4,0.6,47.95,6.3483,-51457000
60,475,4,0.7,49.9,5.8131,-48269000
60,475,4,0.8,51.4,5.3514,-45632000
60,475,5,0.5,28.35,7.7638,-74007000
60,475,5,0.6,29.15,7.1256,-69921000
60,475,5,0.7,30.05,6.5878,-66216000
60,475,5,0.8,31.2,6.1234,-62652000
60,475,6,0.5,19.25,8.4036,-93440000
60,475,6,0.6,19.85,7.7633,-88442000
60,475,6,0.7,20.1,7.2236,-84780000
60,475,6,0.8,20.8,6.7574,-80607000
60,475,7,0.5,13.85,8.9472,-113670000
60,475,7,0.6,14.1,8.3058,-108540000
60,475,7,0.7,14.5,7.7648,-103490000
60,475,7,0.8,14.75,7.2971,-99471000
60,500,4,0.5,51.1,6.9837,-52282000
60,500,4,0.6,52.95,6.3484,-48968000
60,500,4,0.7,54.9,5.8133,-46019000
60,500,4,0.8,57.35,5.3516,-43201000
60,500,5,0.5,31.4,7.7639,-70322000
60,500,5,0.6,32.4,7.1257,-66322000
60,500,5,0.7,33.45,6.588,-62761000
60,500,5,0.8,34.35,6.1236,-59711000
60,500,6,0.5,21.4,8.4035,-88621000
60,500,6,0.6,21.9,7.7634,-84202000
60,500,6,0.7,22.45,7.2238,-80222000
60,500,6,0.8,23,6.7576,-76656000
60,500,7,0.5,15.45,8.9474,-107620000
60,500,7,0.6,15.65,8.3061,-103030000
60,500,7,0.7,16.15,7.7648,-98061000
60,500,7,0.8,16.35,7.2973,-94480000
60,525,4,0.5,56.3,6.9839,-49809000
60,525,4,0.6,58.75,6.3486,-46489000
60,525,4,0.7,60.65,5.8135,-43784000
60,525,4,0.8,63.2,5.3517,-41153000
60,525,5,0.5,34.75,7.764,-66847000
60,525,5,0.6,35.8,7.1259,-63095000
60,525,5,0.7,36.7,6.588,-59918000
60,525,5,0.8,37.95,6.1237,-56809000
60,525,6,0.5,23.45,8.4039,-84661000
60,525,6,0.6,24.15,7.7636,-80184000
60,525,6,0.7,24.65,7.2239,-76558000
60,525,6,0.8,25.3,6.7576,-73089000
60,525,7,0.5,16.75,8.9476,-103360000
60,525,7,0.6,17.25,8.3062,-98134000
60,525,7,0.7,17.8,7.7651,-93407000
60,525,7,0.8,18,7.2976,-90047000
60,550,4,0.5,61.9,6.9841,-47503000
60,550,4,0.6,64,6.3487,-44542000
60,550,4,0.7,66.7,5.8137,-41752000
60,550,4,0.8,69.2,5.3518,-39329000
60,550,5,0.5,38.15,7.7641,-63799000
60,550,5,0.6,39,7.1259,-60451000
60,550,5,0.7,40.5,6.5883,-57039000
60,550,5,0.8,41.65,6.1238,-54227000
60,550,6,0.5,25.85,8.4039,-80635000
60,550,6,0.6,26.55,7.7637,-76475000
60,550,6,0.7,27.1,7.224,-73016000
60,550,6,0.8,27.9,6.7578,-69601000
60,550,7,0.5,18.5,8.948,-98354000
60,550,7,0.6,18.9,8.3062,-93753000
60,550,7,0.7,19.5,7.7653,-89243000
60,550,7,0.8,20,7.2977,-85426000
60,575,4,0.5,67.7,6.9842,-45423000
60,575,4,0.6,69.75,6.3489,-42667000
60,575,4,0.7,72.85,5.8138,-39951000
60,575,4,0.8,75.8,5.352,-37578000
60,575,5,0.5,41.4,7.7643,-61244000
60,575,5,0.6,43,7.1261,-57571000
60,575,5,0.7,44.35,6.5884,-54508000
60,575,5,0.8,45.5,6.1239,-51883000
60,575,6,0.5,28.1,8.4039,-77340000
60,575,6,0.6,28.75,7.7638,-73491000
60,575,6,0.7,29.6,7.2241,-69865000
60,575,6,0.8,30.35,6.7579,-66733000
60,575,7,0.5,20.15,8.9481,-94242000
60,575,7,0.6,20.7,8.3065,-89586000
60,575,7,0.7,21.1,7.7653,-85793000
60,575,7,0.8,21.65,7.2978,-82107000
60,600,4,0.5,73.35,6.9844,-43640000
60,600,4,0.6,76.25,6.349,-40808000
60,600,4,0.7,79.15,5.814,-38329000
60,600,4,0.8,81.55,5.3522,-36230000
60,600,5,0.5,45.3,7.7645,-58549000
60,600,5,0.6,46.7,7.1262,-55244000
60,600,5,0.7,48,6.5884,-52394000
60,600,5,0.8,49.6,6.124,-49693000
60,600,6,0.5,30.55,8.404,-74174000
60,600,6,0.6,31.4,7.7639,-70322000
60,600,6,0.7,32.2,7.2242,-66986000
60,600,6,0.8,33.15,6.758,-63853000
60,600,7,0.5,21.9,8.9484,-90399000
60,600,7,0.6,22.55,8.3069,-85834000
60,600,7,0.7,23.05,7.7657,-82086000
60,600,7,0.8,23.6,7.298,-78643000
